year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party_detailed,writein,mode,candidatevotes,totalvotes,unofficial,version,party_simplified,vote_percentage
1976-01-01,Arizona,Az,4,86,61,Us Senate,Statewide,Gen,False,Sam Steiger,Republican,False,Total,321236,741210,False,20210114,Republican,43.33940448725732
1976-01-01,Arizona,Az,4,86,61,Us Senate,Statewide,Gen,False,Wm. Mathews Feighan,Independent,False,Total,1565,741210,False,20210114,Other,0.2111412420231783
1976-01-01,Arizona,Az,4,86,61,Us Senate,Statewide,Gen,False,Dennis Deconcini,Democrat,False,Total,400334,741210,False,20210114,Democrat,54.010874111250516
1976-01-01,Arizona,Az,4,86,61,Us Senate,Statewide,Gen,False,Allan Norwitz,Libertarian,False,Total,7310,741210,False,20210114,Libertarian,0.9862252263191268
1976-01-01,Arizona,Az,4,86,61,Us Senate,Statewide,Gen,False,Bob Field,Independent,False,Total,10765,741210,False,20210114,Other,1.4523549331498495
1976-01-01,Connecticut,Ct,9,16,1,Us Senate,Statewide,Gen,False,"Lowell P. Weicker, Jr.",Republican,False,Total,785683,1361666,False,20210114,Republican,57.70012616897242
1976-01-01,Connecticut,Ct,9,16,1,Us Senate,Statewide,Gen,False,Scatter,Unknown Party,False,Total,558,1361666,False,20210114,Other,0.04097921222972447
1976-01-01,Connecticut,Ct,9,16,1,Us Senate,Statewide,Gen,False,Robert Barnabei,American Independent,False,Total,14407,1361666,False,20210114,Other,1.0580421336803592
1976-01-01,Connecticut,Ct,9,16,1,Us Senate,Statewide,Gen,False,Gloria Schaffer,Democrat,False,Total,561018,1361666,False,20210114,Democrat,41.200852485117494
1976-01-01,Delaware,De,10,51,11,Us Senate,Statewide,Gen,False,Thomas C. Maloney,Democrat,False,Total,98042,224795,False,20210114,Democrat,43.61395938521764
1976-01-01,Delaware,De,10,51,11,Us Senate,Statewide,Gen,False,"William V. Roth, Jr.",Republican,False,Total,125454,224795,False,20210114,Republican,55.80818078693921
1976-01-01,Delaware,De,10,51,11,Us Senate,Statewide,Gen,False,Donald G. Gies,American,False,Total,646,224795,False,20210114,Other,0.28737293978958606
1976-01-01,Delaware,De,10,51,11,Us Senate,Statewide,Gen,False,John A. Massimilla,Prohibition,False,Total,216,224795,False,20210114,Other,0.09608754643119287
1976-01-01,Delaware,De,10,51,11,Us Senate,Statewide,Gen,False,Joseph F. Mcinerney,None,False,Total,437,224795,False,20210114,Other,0.19439934162236705
1976-01-01,Florida,Fl,12,59,43,Us Senate,Statewide,Gen,False,Scatter,Unknown Party,False,Total,130,2857534,False,20210114,Other,0.004549377190262653
1976-01-01,Florida,Fl,12,59,43,Us Senate,Statewide,Gen,False,John Grady,Republican,False,Total,1057886,2857534,False,20210114,Republican,37.020941833063056
1976-01-01,Hawaii,Hi,15,95,82,Us Senate,Statewide,Gen,False,Spark M. Matsunaga,Democrat,False,Total,162305,302092,False,20210114,Democrat,53.72701031473856
1976-01-01,Hawaii,Hi,15,95,82,Us Senate,Statewide,Gen,False,James D. Kimmel,Independent,False,Total,1433,302092,False,20210114,Other,0.47435880460257135
1976-01-01,Hawaii,Hi,15,95,82,Us Senate,Statewide,Gen,False,William Quinn,Republican,False,Total,122724,302092,False,20210114,Republican,40.62471035313745
1976-01-01,Hawaii,Hi,15,95,82,Us Senate,Statewide,Gen,False,Anthony N. Hodges,Prohibition,False,Total,14226,302092,False,20210114,Other,4.709161447506058
1976-01-01,Hawaii,Hi,15,95,82,Us Senate,Statewide,Gen,False,Rockne Johnson,Libertarian,False,Total,1404,302092,False,20210114,Libertarian,0.46475908001535954
1976-01-01,Indiana,In,18,32,22,Us Senate,Statewide,Gen,False,Vance Hartke,Democrat,False,Total,868522,2161187,False,20210114,Democrat,40.187267459965284
1976-01-01,Indiana,In,18,32,22,Us Senate,Statewide,Gen,False,Don L. Lee,Independent,False,Total,14321,2161187,False,20210114,Other,0.6626451112282278
1976-01-01,Indiana,In,18,32,22,Us Senate,Statewide,Gen,False,David Lee Hoagland,U.S. Labor,False,Total,2511,2161187,False,20210114,Other,0.11618615140661127
1976-01-01,Maine,Me,23,11,2,Us Senate,Statewide,Gen,False,Robert A. G. Monks,Republican,False,Total,193489,486193,False,20210114,Republican,39.796747382212416
1976-01-01,Maine,Me,23,11,2,Us Senate,Statewide,Gen,False,Edmund S. Muskie,Democrat,False,Total,292704,486193,False,20210114,Democrat,60.203252617787584
1976-01-01,Maryland,Md,24,52,52,Us Senate,Statewide,Gen,False,"J. Glenn Beall, Jr.",Republican,False,Total,530439,1365290,False,20210114,Republican,38.85174578294721
1976-01-01,Maryland,Md,24,52,52,Us Senate,Statewide,Gen,False,Paul S. Sarbanes,Democrat,False,Total,772101,1365290,False,20210114,Democrat,56.55216107933113
1976-01-01,Maryland,Md,24,52,52,Us Senate,Statewide,Gen,False,Bruce Bradley,Independent,False,Total,62750,1365290,False,20210114,Other,4.596093137721656
1976-01-01,Massachusetts,Ma,25,14,3,Us Senate,Statewide,Gen,False,Carol Henderson Evans,Socialist Workers,False,Total,26283,2491255,False,20210114,Other,1.0550104264717983
1976-01-01,Massachusetts,Ma,25,14,3,Us Senate,Statewide,Gen,False,Scatter,Unknown Party,False,Total,157,2491255,False,20210114,Other,0.006302044551842344
1976-01-01,Massachusetts,Ma,25,14,3,Us Senate,Statewide,Gen,False,Michael S. Robertson,Republican,False,Total,722641,2491255,False,20210114,Republican,29.007106859795567
1976-01-01,Massachusetts,Ma,25,14,3,Us Senate,Statewide,Gen,False,H. Graham Lowry,U.S. Labor,False,Total,15517,2491255,False,20210114,Other,0.6228587599422781
1976-01-01,Michigan,Mi,26,34,23,Us Senate,Statewide,Gen,False,Bette Jane Erwin,Libertarian,False,Total,8842,3490412,False,20210114,Libertarian,0.25332253040615266
1976-01-01,Michigan,Mi,26,34,23,Us Senate,Statewide,Gen,False,Theodore G. Albert,Human Rights,False,Total,7281,3490412,False,20210114,Other,0.20860001627315056
1976-01-01,Michigan,Mi,26,34,23,Us Senate,Statewide,Gen,False,Frank Girard,Socialist Labor,False,Total,2554,3490412,False,20210114,Other,0.07317187770383553
1976-01-01,Michigan,Mi,26,34,23,Us Senate,Statewide,Gen,False,Paula L. Reimers,Socialist Workers,False,Total,3399,3490412,False,20210114,Other,0.09738105415635748
1976-01-01,Michigan,Mi,26,34,23,Us Senate,Statewide,Gen,False,Peter A. Signorelli,U.S. Labor,False,Total,2218,3490412,False,20210114,Other,0.06354550694874989
1976-01-01,Minnesota,Mn,27,41,33,Us Senate,Statewide,Gen,False,Robin E. Miller,Libertarian,False,Total,5476,1912020,False,20210114,Libertarian,0.2863986778380979
1976-01-01,Minnesota,Mn,27,41,33,Us Senate,Statewide,Gen,False,Bill Peterson,Socialist Workers,False,Total,9380,1912020,False,20210114,Other,0.490580642461899
1976-01-01,Minnesota,Mn,27,41,33,Us Senate,Statewide,Gen,False,Matt Savola,Communist,False,Total,2214,1912020,False,20210114,Other,0.11579376784761665
1976-01-01,Minnesota,Mn,27,41,33,Us Senate,Statewide,Gen,False,Jerry Brekke,Republican,False,Total,478602,1912020,False,20210114,Republican,25.0312235227665
1976-01-01,Minnesota,Mn,27,41,33,Us Senate,Statewide,Gen,False,Paul Helm,American,False,Total,125612,1912020,False,20210114,Other,6.569596552337319
1976-01-01,Mississippi,Ms,28,64,46,Us Senate,Statewide,Gen,False,John C. Stennis,Democrat,False,Total,554433,554433,False,20210114,Democrat,100.0
1976-01-01,Missouri,Mo,29,43,34,Us Senate,Statewide,Gen,False,John C. Danforth,Republican,False,Total,1090067,1914460,False,20210114,Republican,56.938614544048974
1976-01-01,Missouri,Mo,29,43,34,Us Senate,Statewide,Gen,False,Warren E. Hearnes,Democrat,False,Total,813571,1914460,False,20210114,Democrat,42.49610856325021
1976-01-01,Missouri,Mo,29,43,34,Us Senate,Statewide,Gen,False,Lawrene (Red) Petty,Independent,False,Total,10822,1914460,False,20210114,Other,0.5652768927008137
1976-01-01,Montana,Mt,30,81,64,Us Senate,Statewide,Gen,False,Stanley C. Burger,Republican,False,Total,115213,321445,False,20210114,Republican,35.84221250913842
1976-01-01,Montana,Mt,30,81,64,Us Senate,Statewide,Gen,False,John Melcher,Democrat,False,Total,206232,321445,False,20210114,Democrat,64.15778749086158
1976-01-01,Nebraska,Ne,31,46,35,Us Senate,Statewide,Gen,False,Unknown Candidate,Unknown Party,True,Total,58,593310,False,20210114,Other,0.00977566533515363
1976-01-01,Nebraska,Ne,31,46,35,Us Senate,Statewide,Gen,False,Scatter,Unknown Party,False,Total,163,593310,False,20210114,Other,0.02747299051086279
1976-01-01,Nebraska,Ne,31,46,35,Us Senate,Statewide,Gen,False,John Y. Mccollister,Republican,False,Total,279284,593310,False,20210114,Republican,47.07218823212148
1976-01-01,Nebraska,Ne,31,46,35,Us Senate,Statewide,Gen,False,Edward Zorinsky,Democrat,False,Total,313805,593310,False,20210114,Democrat,52.890563112032495
1976-01-01,Nevada,Nv,32,88,65,Us Senate,Statewide,Gen,False,Byron D. Young,Independent American,False,Total,3619,201899,False,20210114,Other,1.792480398615149
1976-01-01,Nevada,Nv,32,88,65,Us Senate,Statewide,Gen,False,David Towell,Republican,False,Total,63471,201899,False,20210114,Republican,31.437005631528635
1976-01-01,Nevada,Nv,32,88,65,Us Senate,Statewide,Gen,False,Other,Unknown Party,False,Total,5288,201899,False,20210114,Other,2.619131347852144
1976-01-01,Nevada,Nv,32,88,65,Us Senate,Statewide,Gen,False,Dan Becan,Libertarian,False,Total,2307,201899,False,20210114,Libertarian,1.1426505331873857
